Tm1,Tm2,Sco1,Sco2,sco
IND,SAC,39胜26负,28胜36负,132:131
SAC,IND,28胜36负,39胜26负,106:130
LAL,GSW,49胜14负,15胜50负,123:101
ORL,SAS,30胜35负,27胜36负,125:89
CHA,BOS,23胜42负,43胜21负,106:107
ORL,DET,30胜35负,20胜46负,115:91
NYK,WAS,21胜45负,24胜40负,104:99
NOP,ATL,28胜36负,20胜47负,133:109
MIL,CHI,53胜12负,22胜43负,122:112
SAS,MIA,27胜36负,41胜24负,89:107
DAL,OKC,40胜27负,40胜24负,104:119
MIN,PHX,19胜45负,26胜39负,106:111
DEN,POR,43胜22负,29胜37负,105:94
DAL,DET,40胜27负,20胜46负,117:124
MIA,CHA,41胜24负,23胜42负,108:94
ORL,ATL,30胜35负,20胜47负,97:88
UTA,MIL,41胜23负,53胜12负,99:133
NOP,CHI,28胜36负,22胜43负,127:125
PHX,SAC,26胜39负,28胜36负,88:105
DEN,LAC,43胜22负,44胜20负,111:91
MIN,GSW,19胜45负,15胜50负,123:143
CHI,IND,22胜43负,39胜26负,87:105
CLE,DET,19胜46负,20胜46负,105:109
BOS,ORL,43胜21负,30胜35负,100:75
PHI,CHA,39胜26负,23胜42负,100:87
WAS,NYK,24胜40负,21胜45负,115:99
UTA,NOP,41胜23负,28胜36负,127:128
MIL,DAL,53胜12负,40胜27负,118:111
PHX,POR,26胜39负,29胜37负,134:118
CLE,BOS,19胜46负,43胜21负,72:118
NOP,SAS,28胜36负,27胜36负,123:114
CHI,TOR,22胜43负,46胜18负,105:91
MIL,WAS,53胜12负,24胜40负,115:108
PHI,ORL,39胜26负,30胜35负,126:94
ATL,MIA,20胜47负,41胜24负,87:120
CHA,MEM,23胜42负,32胜33负,120:99
OKC,DAL,40胜24负,40胜27负,70:107
SAC,UTA,28胜36负,41胜23负,128:115
DEN,PHX,43胜22负,26胜39负,107:102
GSW,LAL,15胜50负,49胜14负,98:104
BOS,CLE,43胜21负,19胜46负,118:95
DET,PHI,20胜46负,39胜26负,86:106
MIN,IND,19胜45负,39胜26负,119:111
DET,CHA,20胜46负,23胜42负,116:110
ATL,NYK,20胜47负,21胜45负,100:96
MEM,OKC,32胜33负,40胜24负,124:119
POR,UTA,29胜37负,41胜23负,126:118
GSW,LAL,15胜50负,49胜14负,93:126
MIA,ORL,41胜24负,30胜35负,107:98
MIN,MIL,19胜45负,53胜12负,96:118
ATL,CHI,20胜47负,22胜43负,93:111
POR,DEN,29胜37负,43胜22负,104:110
DAL,LAC,40胜27负,44胜20负,102:87
WAS,PHI,24胜40负,39胜26负,112:93
TOR,BKN,46胜18负,30胜34负,123:107
NOP,NYK,28胜36负,21胜45负,117:116
MEM,SAS,32胜33负,27胜36负,91:104
LAL,GSW,49胜14负,15胜50负,103:124
NOP,TOR,28胜36负,46胜18负,122:130
LAL,LAC,49胜14负,44胜20负,102:112
CHI,CHA,22胜43负,23胜42负,125:126
CLE,ORL,19胜46负,30胜35负,85:94
DET,IND,20胜46负,39胜26负,119:110
MEM,MIA,32胜33负,41胜24负,101:120
BOS,PHI,43胜21负,39胜26负,93:107
MIN,BKN,19胜45负,30胜34负,127:126
WAS,DAL,24胜40负,40胜27负,100:108
NYK,SAS,21胜45负,27胜36负,111:120
OKC,UTA,40胜24负,41胜23负,95:100
SAC,PHX,28胜36负,26胜39负,95:124
DEN,POR,43胜22负,29胜37负,108:100
ATL,DET,20胜47负,20胜46负,117:100
MIL,HOU,53胜12负,40胜24负,117:111
LAC,GSW,44胜20负,15胜50负,141:122
MIN,CHA,19胜45负,23胜42负,121:99
TOR,BOS,46胜18负,43胜21负,106:112
NYK,BKN,21胜45负,30胜34负,109:113
DAL,NOP,40胜27负,28胜36负,123:116
CHI,MEM,22胜43负,32胜33负,110:102
WAS,OKC,24胜40负,40胜24负,97:85
PHX,DEN,26胜39负,43胜22负,107:108
POR,SAC,29胜37负,28胜36负,122:112
UTA,LAL,41胜23负,49胜14负,86:95
MIA,MIL,41胜24负,53胜12负,131:126
PHI,DET,39胜26负,20胜46负,117:111
ORL,ATL,30胜35负,20胜47负,99:103
BOS,NYK,43胜21负,21胜45负,118:95
IND,CLE,39胜26负,19胜46负,99:110
TOR,CHI,46胜18负,22胜43负,108:84
NOP,HOU,28胜36负,40胜24负,123:126
WAS,SAS,24胜40负,27胜36负,122:124
SAC,UTA,28胜36负,41胜23负,81:113
LAC,PHX,44胜20负,26胜39负,122:130
GSW,OKC,15胜50负,40胜24负,92:120
BKN,MEM,30胜34负,32胜33负,133:134
POR,DAL,29胜37负,40胜27负,121:119
MIA,MIN,41胜24负,19胜45负,109:116
CHA,LAL,23胜42负,49胜14负,101:120
CHI,NYK,22胜43负,21胜45负,98:105
IND,DET,39胜26负,20胜46负,94:96
PHI,ATL,39胜26负,20胜47负,105:103
ORL,TOR,30胜35负,46胜18负,95:104
GSW,NOP,15胜50负,28胜36负,134:123
CLE,MIL,19胜46负,53胜12负,112:129
OKC,HOU,40胜24负,40胜24负,112:116
POR,SAS,29胜37负,27胜36负,110:113
UTA,PHX,41胜23负,26胜39负,96:95
DEN,SAC,43胜22负,28胜36负,101:94
CHA,LAC,23胜42负,44胜20负,96:111
ATL,MIA,20胜47负,41胜24负,97:112
DAL,DEN,40胜27负,43胜22负,109:106
MEM,LAL,32胜33负,49胜14负,91:120
NYK,ORL,21胜45负,30胜35负,83:95
CHI,CLE,22胜43负,19胜46负,111:117
MIN,PHI,19胜45负,39胜26负,95:117
MIL,BOS,53胜12负,43胜21负,105:116
IND,BKN,39胜26负,30胜34负,118:108
DET,TOR,20胜46负,46胜18负,113:125
POR,OKC,29胜37负,40胜24负,102:99
